transaction_id,customer_id,product_id,amount,payment_method,coupon,device_id,ip_address,shipping_address,timestamp,payment_status
TXN_0001,CUST_082,PROD_001,499,NETBANKING,SAVE100,DEV_032,192.168.1.29,ADDR_018,2026-07-31T17:32:59.895104,success
TXN_0002,CUST_076,PROD_004,499,UPI,NONE,DEV_028,192.168.1.30,ADDR_065,2026-08-23T11:08:59.895104,success
TXN_0003,CUST_072,PROD_002,2499,NETBANKING,CLEAR500,DEV_029,192.168.1.58,ADDR_076,2026-08-08T17:26:59.895104,success
TXN_0004,CUST_098,PROD_002,2499,CARD,SAVE100,DEV_036,192.168.1.20,ADDR_028,2026-08-11T09:14:59.895104,success
TXN_0005,CUST_012,PROD_004,499,CARD,SAVE100,DEV_078,192.168.1.34,ADDR_104,2026-07-29T01:02:59.895104,failed
TXN_0006,CUST_069,PROD_001,1499,UPI,SAVE100,DEV_107,192.168.1.81,ADDR_080,2026-08-12T12:35:59.895104,success
TXN_0007,CUST_091,PROD_001,499,NETBANKING,SAVE50,DEV_099,192.168.1.38,ADDR_011,2026-08-06T15:51:59.895104,success
TXN_0008,CUST_049,PROD_003,1499,NETBANKING,SAVE100,DEV_021,192.168.1.48,ADDR_046,2026-08-05T14:25:59.895104,success
TXN_0009,CUST_090,PROD_001,1999,NETBANKING,SAVE50,DEV_069,192.168.1.94,ADDR_032,2026-08-03T12:03:59.895104,failed
TXN_0010,CUST_049,PROD_003,2499,NETBANKING,SAVE50,DEV_088,192.168.1.42,ADDR_108,2026-07-29T14:40:59.895104,success
TXN_0011,CUST_005,PROD_003,1499,CARD,NONE,DEV_028,192.168.1.117,ADDR_073,2026-08-10T09:17:59.895104,success
TXN_0012,CUST_084,PROD_004,1499,NETBANKING,CLEAR500,DEV_019,192.168.1.34,ADDR_018,2026-08-07T06:57:59.895104,success
TXN_0013,CUST_096,PROD_005,1499,NETBANKING,CLEAR500,DEV_047,192.168.1.29,ADDR_018,2026-08-19T06:07:59.895104,failed
TXN_0014,CUST_012,PROD_001,499,UPI,SAVE50,DEV_102,192.168.1.88,ADDR_055,2026-08-23T05:01:59.895104,success
TXN_0015,CUST_050,PROD_004,1999,CARD,SAVE100,DEV_071,192.168.1.111,ADDR_002,2026-08-01T06:42:59.895104,success
TXN_0016,CUST_099,PROD_003,499,CARD,CLEAR500,DEV_021,192.168.1.59,ADDR_001,2026-08-08T01:16:59.895104,success
TXN_0017,CUST_065,PROD_001,2499,CARD,SAVE50,DEV_020,192.168.1.48,ADDR_098,2026-08-03T10:02:59.895104,success
TXN_0018,CUST_077,PROD_003,1499,UPI,NONE,DEV_119,192.168.1.47,ADDR_113,2026-08-10T01:28:59.895104,success
TXN_0019,CUST_008,PROD_002,1999,UPI,NONE,DEV_094,192.168.1.63,ADDR_105,2026-07-30T05:10:59.895104,success
TXN_0020,CUST_017,PROD_004,1999,UPI,SAVE100,DEV_068,192.168.1.112,ADDR_078,2026-08-15T07:45:59.895104,success
TXN_0021,CUST_070,PROD_002,2499,CARD,CLEAR500,DEV_086,192.168.1.84,ADDR_048,2026-08-16T00:06:59.895104,failed
TXN_0022,CUST_016,PROD_002,799,UPI,SAVE100,DEV_003,192.168.1.76,ADDR_071,2026-08-06T12:55:59.895104,success
TXN_0023,CUST_001,PROD_001,2499,NETBANKING,NONE,DEV_030,192.168.1.9,ADDR_116,2026-07-28T11:53:59.895104,success
TXN_0024,CUST_010,PROD_005,799,CARD,CLEAR500,DEV_028,192.168.1.70,ADDR_017,2026-08-22T01:18:59.895104,failed
TXN_0025,CUST_032,PROD_004,1499,UPI,NONE,DEV_013,192.168.1.85,ADDR_056,2026-08-12T04:34:59.895104,failed
TXN_0026,CUST_053,PROD_004,2499,UPI,NONE,DEV_008,192.168.1.52,ADDR_094,2026-08-11T12:11:59.895104,success
TXN_0027,CUST_032,PROD_002,799,NETBANKING,CLEAR500,DEV_018,192.168.1.55,ADDR_024,2026-08-08T17:49:59.895104,failed
TXN_0028,CUST_032,PROD_001,1499,NETBANKING,NONE,DEV_007,192.168.1.84,ADDR_070,2026-07-27T17:42:59.895104,success
TXN_0029,CUST_097,PROD_002,799,CARD,CLEAR500,DEV_062,192.168.1.28,ADDR_111,2026-08-14T07:37:59.895104,success
TXN_0030,CUST_022,PROD_004,499,CARD,SAVE100,DEV_119,192.168.1.101,ADDR_101,2026-08-16T18:34:59.895104,success
TXN_0031,CUST_055,PROD_005,2499,NETBANKING,CLEAR500,DEV_020,192.168.1.25,ADDR_038,2026-08-05T23:22:59.895104,success
TXN_0032,CUST_075,PROD_005,499,NETBANKING,SAVE100,DEV_008,192.168.1.7,ADDR_075,2026-08-17T18:21:59.895104,success
TXN_0033,CUST_008,PROD_005,499,UPI,NONE,DEV_077,192.168.1.9,ADDR_087,2026-08-06T18:29:59.895104,failed
TXN_0034,CUST_016,PROD_005,799,NETBANKING,NONE,DEV_080,192.168.1.11,ADDR_054,2026-08-25T23:36:59.895104,success
TXN_0035,CUST_034,PROD_002,2499,NETBANKING,SAVE100,DEV_031,192.168.1.34,ADDR_051,2026-08-02T00:32:59.895104,success
TXN_0036,CUST_059,PROD_003,499,UPI,CLEAR500,DEV_080,192.168.1.73,ADDR_013,2026-07-30T09:36:59.895104,success
TXN_0037,CUST_065,PROD_003,799,CARD,NONE,DEV_113,192.168.1.32,ADDR_048,2026-08-09T00:51:59.895104,success
TXN_0038,CUST_057,PROD_005,2499,CARD,NONE,DEV_086,192.168.1.105,ADDR_071,2026-08-09T16:35:59.895104,success
TXN_0039,CUST_018,PROD_003,499,UPI,SAVE50,DEV_035,192.168.1.37,ADDR_078,2026-08-05T15:38:59.895104,success
TXN_0040,CUST_027,PROD_003,1999,CARD,SAVE100,DEV_116,192.168.1.117,ADDR_109,2026-07-29T09:04:59.895104,success
TXN_0041,CUST_082,PROD_004,999,UPI,NONE,DEV_043,192.168.1.99,ADDR_017,2026-08-25T01:28:59.895104,success
TXN_0042,CUST_021,PROD_004,1999,NETBANKING,CLEAR500,DEV_072,192.168.1.2,ADDR_015,2026-07-30T11:46:59.895104,success
TXN_0043,CUST_070,PROD_001,999,NETBANKING,SAVE50,DEV_056,192.168.1.17,ADDR_006,2026-08-10T02:17:59.895104,success
TXN_0044,CUST_006,PROD_003,799,NETBANKING,SAVE50,DEV_086,192.168.1.14,ADDR_046,2026-08-21T13:07:59.895104,failed
TXN_0045,CUST_080,PROD_002,799,UPI,SAVE50,DEV_113,192.168.1.53,ADDR_004,2026-08-04T05:29:59.895104,success
TXN_0046,CUST_053,PROD_002,999,UPI,NONE,DEV_049,192.168.1.112,ADDR_005,2026-08-17T11:42:59.895104,success
TXN_0047,CUST_026,PROD_004,999,CARD,SAVE50,DEV_029,192.168.1.4,ADDR_085,2026-08-04T20:31:59.895104,failed
TXN_0048,CUST_043,PROD_003,499,CARD,SAVE100,DEV_083,192.168.1.66,ADDR_052,2026-08-20T11:16:59.895104,success
TXN_0049,CUST_004,PROD_001,999,UPI,SAVE100,DEV_005,192.168.1.14,ADDR_077,2026-08-15T20:14:59.895104,success
TXN_0050,CUST_094,PROD_003,1499,NETBANKING,NONE,DEV_050,192.168.1.116,ADDR_074,2026-08-04T17:12:59.895104,success
TXN_0051,CUST_006,PROD_004,499,NETBANKING,SAVE50,DEV_047,192.168.1.56,ADDR_009,2026-08-11T02:14:59.895104,success
TXN_0052,CUST_085,PROD_001,2499,CARD,SAVE100,DEV_086,192.168.1.53,ADDR_042,2026-08-14T09:06:59.895104,success
TXN_0053,CUST_071,PROD_002,799,CARD,CLEAR500,DEV_087,192.168.1.96,ADDR_116,2026-08-03T23:40:59.895104,success
TXN_0054,CUST_052,PROD_005,499,CARD,SAVE100,DEV_027,192.168.1.56,ADDR_101,2026-08-22T11:04:59.895104,success
TXN_0055,CUST_060,PROD_004,1499,NETBANKING,SAVE50,DEV_066,192.168.1.61,ADDR_102,2026-08-03T18:55:59.895104,success
TXN_0056,CUST_037,PROD_005,2499,NETBANKING,SAVE100,DEV_012,192.168.1.105,ADDR_097,2026-08-06T18:07:59.895104,success
TXN_0057,CUST_029,PROD_002,799,UPI,NONE,DEV_032,192.168.1.61,ADDR_079,2026-07-30T09:07:59.895104,failed
TXN_0058,CUST_054,PROD_005,799,NETBANKING,CLEAR500,DEV_064,192.168.1.52,ADDR_032,2026-08-02T18:46:59.895104,success
TXN_0059,CUST_097,PROD_001,1499,UPI,SAVE50,DEV_103,192.168.1.90,ADDR_067,2026-08-17T04:59:59.895104,success
TXN_0060,CUST_072,PROD_002,499,CARD,SAVE50,DEV_103,192.168.1.60,ADDR_086,2026-08-20T05:43:59.895104,success
TXN_0061,CUST_097,PROD_004,1999,NETBANKING,CLEAR500,DEV_107,192.168.1.117,ADDR_071,2026-08-16T08:38:59.895104,success
TXN_0062,CUST_096,PROD_004,1499,CARD,SAVE50,DEV_108,192.168.1.82,ADDR_036,2026-08-19T18:58:59.895104,failed
TXN_0063,CUST_081,PROD_002,999,CARD,NONE,DEV_092,192.168.1.37,ADDR_031,2026-08-08T10:22:59.895104,success
TXN_0064,CUST_041,PROD_005,499,UPI,SAVE50,DEV_030,192.168.1.50,ADDR_089,2026-08-03T00:29:59.895104,success
TXN_0065,CUST_009,PROD_004,1499,CARD,CLEAR500,DEV_054,192.168.1.8,ADDR_027,2026-08-15T04:29:59.895104,failed
TXN_0066,CUST_099,PROD_005,2499,UPI,CLEAR500,DEV_062,192.168.1.1,ADDR_046,2026-08-09T15:44:59.895104,failed
TXN_0067,CUST_054,PROD_005,2499,NETBANKING,SAVE50,DEV_063,192.168.1.29,ADDR_035,2026-08-15T21:37:59.895104,failed
TXN_0068,CUST_004,PROD_004,999,NETBANKING,CLEAR500,DEV_093,192.168.1.22,ADDR_108,2026-08-17T08:05:59.895104,success
TXN_0069,CUST_080,PROD_005,499,CARD,NONE,DEV_011,192.168.1.83,ADDR_055,2026-08-02T05:48:59.895104,failed
TXN_0070,CUST_024,PROD_001,999,CARD,SAVE100,DEV_028,192.168.1.59,ADDR_042,2026-08-11T10:13:59.895104,failed
TXN_0071,CUST_036,PROD_004,999,UPI,CLEAR500,DEV_003,192.168.1.96,ADDR_070,2026-07-29T10:28:59.895104,success
TXN_0072,CUST_029,PROD_001,2499,UPI,NONE,DEV_032,192.168.1.26,ADDR_108,2026-07-27T23:50:59.895104,success
TXN_0073,CUST_031,PROD_002,1499,NETBANKING,NONE,DEV_073,192.168.1.28,ADDR_060,2026-08-07T17:28:59.895104,success
TXN_0074,CUST_022,PROD_005,1999,NETBANKING,NONE,DEV_100,192.168.1.105,ADDR_021,2026-08-10T05:19:59.895104,success
TXN_0075,CUST_075,PROD_001,999,NETBANKING,CLEAR500,DEV_051,192.168.1.92,ADDR_026,2026-07-30T12:35:59.895104,success
TXN_0076,CUST_014,PROD_003,2499,NETBANKING,NONE,DEV_102,192.168.1.73,ADDR_101,2026-07-28T22:26:59.895104,success
TXN_0077,CUST_069,PROD_004,2499,CARD,NONE,DEV_065,192.168.1.83,ADDR_044,2026-07-27T15:24:59.895104,failed
TXN_0078,CUST_063,PROD_001,1499,CARD,CLEAR500,DEV_091,192.168.1.20,ADDR_056,2026-08-04T01:58:59.895104,success
TXN_0079,CUST_079,PROD_005,1499,CARD,CLEAR500,DEV_106,192.168.1.94,ADDR_076,2026-08-08T06:44:59.895104,success
TXN_0080,CUST_032,PROD_001,999,CARD,SAVE50,DEV_097,192.168.1.60,ADDR_073,2026-08-23T20:13:59.895104,failed
